set,id,m,n,cmax,runtime,peak_kb
medium_instances.yaml,79,10,200,1015,0.0008542537689208984,4.42578125
medium_instances.yaml,80,10,200,1024,0.0025446414947509766,6.83984375
medium_instances.yaml,81,10,200,1045,0.0024809837341308594,6.77734375
medium_instances.yaml,82,10,200,995,0.004267692565917969,6.83984375
medium_instances.yaml,83,10,200,1075,0.002879619598388672,6.83984375
medium_instances.yaml,84,10,200,1011,0.002763032913208008,6.75390625
medium_instances.yaml,85,10,200,1007,0.002824068069458008,6.83984375
medium_instances.yaml,86,10,200,1064,0.0008904933929443359,4.42578125
medium_instances.yaml,87,10,200,1015,0.0030565261840820312,6.77734375
medium_instances.yaml,88,10,200,994,0.0026557445526123047,6.83984375
medium_instances.yaml,89,10,200,1036,0.004639387130737305,11.04296875
medium_instances.yaml,90,10,200,998,0.0023872852325439453,6.83984375
medium_instances.yaml,91,10,200,1021,0.002588033676147461,6.83984375
medium_instances.yaml,92,10,200,1072,0.0009639263153076172,4.42578125
medium_instances.yaml,93,10,200,1013,0.003583669662475586,6.83984375
medium_instances.yaml,94,10,200,1028,0.003779888153076172,6.77734375
medium_instances.yaml,95,10,200,1027,0.0032591819763183594,6.83984375
medium_instances.yaml,96,10,200,1052,0.0026366710662841797,6.83984375
medium_instances.yaml,97,10,200,960,0.002914905548095703,6.87109375
medium_instances.yaml,98,10,200,1027,0.0044786930084228516,6.83984375
medium_instances.yaml,99,10,200,998,0.002925872802734375,6.83984375
medium_instances.yaml,100,10,200,1034,0.005979776382446289,11.05078125
medium_instances.yaml,101,10,200,1045,0.0011556148529052734,4.42578125
medium_instances.yaml,102,10,200,970,0.0010802745819091797,4.42578125
medium_instances.yaml,103,10,200,1038,0.003064393997192383,6.83984375
medium_instances.yaml,104,10,200,1014,0.0011272430419921875,4.42578125
medium_instances.yaml,105,10,200,973,0.0027518272399902344,6.77734375
medium_instances.yaml,106,10,200,1024,0.003428220748901367,6.83984375
medium_instances.yaml,107,10,200,1030,0.004057645797729492,6.83984375
medium_instances.yaml,108,10,200,984,0.001611471176147461,4.42578125
medium_instances.yaml,109,10,200,1085,0.0029675960540771484,6.83984375
medium_instances.yaml,110,10,200,1018,0.0039424896240234375,11.04296875
medium_instances.yaml,111,10,200,1031,0.0027272701263427734,6.83984375
medium_instances.yaml,112,10,200,970,0.0024538040161132812,6.87109375
medium_instances.yaml,113,10,200,1036,0.001043558120727539,4.42578125
medium_instances.yaml,114,10,200,972,0.0009720325469970703,4.42578125
medium_instances.yaml,115,10,200,1019,0.0024385452270507812,6.83984375
medium_instances.yaml,116,10,200,979,0.00090789794921875,4.42578125
medium_instances.yaml,117,10,200,969,0.0024776458740234375,6.83984375
medium_instances.yaml,118,10,200,1019,0.002707242965698242,6.69921875
medium_instances.yaml,119,10,200,957,0.0008614063262939453,4.42578125
medium_instances.yaml,120,10,200,975,0.0008432865142822266,4.42578125
medium_instances.yaml,121,10,200,982,0.0025796890258789062,6.83984375
medium_instances.yaml,122,10,200,922,0.0028159618377685547,6.83984375
medium_instances.yaml,123,10,200,965,0.002597808837890625,6.83984375
medium_instances.yaml,124,10,200,1021,0.002521514892578125,6.83984375
medium_instances.yaml,125,10,200,1053,0.005174398422241211,11.04296875
medium_instances.yaml,126,10,200,969,0.004342317581176758,11.04296875
medium_instances.yaml,127,10,200,990,0.0044634342193603516,11.04296875
medium_instances.yaml,128,10,200,1055,0.001155853271484375,4.42578125
medium_instances.yaml,129,10,200,1034,0.004537820816040039,11.04296875
medium_instances.yaml,130,10,200,947,0.0024716854095458984,6.83984375
medium_instances.yaml,131,10,200,963,0.003318309783935547,6.83984375
medium_instances.yaml,132,10,200,1037,0.004641294479370117,10.98046875
medium_instances.yaml,133,10,200,1030,0.00318145751953125,6.83984375
medium_instances.yaml,134,10,200,934,0.0028314590454101562,6.93359375
medium_instances.yaml,135,10,200,995,0.0009701251983642578,4.42578125
medium_instances.yaml,136,10,200,995,0.004602193832397461,11.04296875
medium_instances.yaml,137,10,200,1032,0.0045166015625,11.04296875
medium_instances.yaml,138,10,200,1038,0.003031492233276367,6.83984375
medium_instances.yaml,139,10,200,1025,0.0031054019927978516,6.83984375
medium_instances.yaml,140,10,200,1021,0.001135110855102539,4.42578125
medium_instances.yaml,141,10,200,946,0.0030689239501953125,6.83984375
medium_instances.yaml,142,10,200,943,0.005316019058227539,11.04296875
medium_instances.yaml,143,10,200,1015,0.003772258758544922,6.83984375
medium_instances.yaml,144,10,200,1018,0.0029485225677490234,6.83984375
medium_instances.yaml,145,10,200,1048,0.0060350894927978516,11.04296875
medium_instances.yaml,146,10,200,987,0.0017049312591552734,4.42578125
medium_instances.yaml,147,10,200,1083,0.0032358169555664062,6.77734375
medium_instances.yaml,148,10,200,998,0.00477147102355957,11.05078125
medium_instances.yaml,149,10,200,1002,0.004531145095825195,6.83984375
medium_instances.yaml,150,10,200,1061,0.001033782958984375,4.42578125
medium_instances.yaml,151,10,200,989,0.0025415420532226562,6.83984375
medium_instances.yaml,152,10,200,1001,0.003780364990234375,6.75390625
medium_instances.yaml,153,10,200,975,0.0008573532104492188,4.42578125
medium_instances.yaml,154,10,200,937,0.0010585784912109375,4.42578125
medium_instances.yaml,155,10,200,1081,0.003077268600463867,6.90234375
medium_instances.yaml,156,10,200,1019,0.0011088848114013672,4.42578125
medium_instances.yaml,157,10,200,985,0.0009088516235351562,4.42578125
medium_instances.yaml,158,10,200,1022,0.0010027885437011719,4.42578125
medium_instances.yaml,159,10,200,1034,0.004191398620605469,11.01171875
medium_instances.yaml,160,10,200,1023,0.0030517578125,6.83984375
medium_instances.yaml,161,10,200,998,0.003459453582763672,6.87109375
medium_instances.yaml,162,10,200,998,0.003073453903198242,6.83984375
medium_instances.yaml,163,10,200,1042,0.0029036998748779297,6.81640625
medium_instances.yaml,164,10,200,1050,0.002561330795288086,6.83984375
medium_instances.yaml,165,10,200,1012,0.006930828094482422,11.04296875
medium_instances.yaml,166,10,200,1060,0.0018901824951171875,4.42578125
medium_instances.yaml,167,10,200,941,0.005764484405517578,11.04296875
medium_instances.yaml,168,10,200,1042,0.0024552345275878906,6.75390625
medium_instances.yaml,169,10,200,1059,0.0009701251983642578,4.42578125
medium_instances.yaml,170,10,200,957,0.0014619827270507812,4.42578125
medium_instances.yaml,171,10,200,1037,0.003692626953125,6.83984375
medium_instances.yaml,172,10,200,973,0.0027801990509033203,6.83984375
medium_instances.yaml,173,10,200,1084,0.0011487007141113281,4.42578125
medium_instances.yaml,174,10,200,1035,0.0008757114410400391,4.42578125
medium_instances.yaml,175,10,200,1079,0.004213809967041016,10.91796875
medium_instances.yaml,176,10,200,1051,0.0031790733337402344,6.83984375
medium_instances.yaml,177,10,200,979,0.0012235641479492188,4.42578125
medium_instances.yaml,178,10,200,1022,0.003958702087402344,10.98046875
medium_instances.yaml,179,10,200,1014,0.004705667495727539,11.04296875
medium_instances.yaml,180,10,200,980,0.0025131702423095703,6.77734375
medium_instances.yaml,181,10,200,1009,0.002927541732788086,6.83984375
medium_instances.yaml,182,10,200,1008,0.0032944679260253906,6.77734375
medium_instances.yaml,183,10,200,1032,0.002460956573486328,6.83984375
medium_instances.yaml,184,10,200,1061,0.0029532909393310547,6.83984375
medium_instances.yaml,185,10,200,990,0.0008788108825683594,4.42578125
medium_instances.yaml,186,10,200,1002,0.002532958984375,6.83984375
medium_instances.yaml,187,10,200,1027,0.001233816146850586,4.42578125
medium_instances.yaml,188,10,200,1029,0.004511356353759766,11.04296875
medium_instances.yaml,189,10,200,1116,0.0024635791778564453,6.83984375
medium_instances.yaml,190,10,200,1005,0.002633333206176758,6.83984375
medium_instances.yaml,191,10,200,1053,0.002801179885864258,6.83984375
medium_instances.yaml,192,10,200,985,0.0009329319000244141,4.42578125
medium_instances.yaml,193,10,200,959,0.003014087677001953,6.83984375
medium_instances.yaml,194,10,200,1012,0.00467681884765625,6.83984375
medium_instances.yaml,195,10,200,1006,0.003429412841796875,6.83984375
medium_instances.yaml,196,10,200,1027,0.0024874210357666016,6.83984375
medium_instances.yaml,197,10,200,999,0.0024483203887939453,6.83984375
medium_instances.yaml,198,10,200,1017,0.0030541419982910156,6.83984375
medium_instances.yaml,199,10,200,989,0.0028634071350097656,6.83984375
medium_instances.yaml,200,10,200,1047,0.003586292266845703,6.83984375
medium_instances.yaml,201,10,200,1006,0.0025234222412109375,6.83984375
medium_instances.yaml,202,10,200,1067,0.00262451171875,6.83984375
medium_instances.yaml,203,10,200,956,0.0031282901763916016,6.77734375
medium_instances.yaml,204,10,200,1008,0.0008845329284667969,4.42578125
medium_instances.yaml,205,10,200,1054,0.0032362937927246094,6.77734375
medium_instances.yaml,206,10,200,1013,0.0012803077697753906,4.42578125
medium_instances.yaml,207,10,200,968,0.0008518695831298828,4.42578125
medium_instances.yaml,208,10,200,1051,0.0008826255798339844,4.42578125
medium_instances.yaml,209,10,200,913,0.0008432865142822266,4.42578125
medium_instances.yaml,210,10,200,1080,0.0009064674377441406,4.42578125
medium_instances.yaml,211,10,200,1060,0.0009779930114746094,4.42578125
medium_instances.yaml,212,10,200,1023,0.0009682178497314453,4.42578125
medium_instances.yaml,213,10,200,1058,0.003838777542114258,6.77734375
medium_instances.yaml,214,10,200,1003,0.0009875297546386719,4.42578125
medium_instances.yaml,215,10,200,1019,0.002699613571166992,6.83984375
medium_instances.yaml,216,10,200,1062,0.0009922981262207031,4.42578125
medium_instances.yaml,217,10,200,973,0.003238677978515625,6.83984375
medium_instances.yaml,218,10,200,1013,0.007920503616333008,11.09765625
medium_instances.yaml,219,10,200,974,0.0010290145874023438,4.42578125
medium_instances.yaml,220,10,200,976,0.0010204315185546875,4.42578125
medium_instances.yaml,221,10,200,1060,0.004553079605102539,11.05078125
medium_instances.yaml,222,10,200,1020,0.0009260177612304688,4.42578125
medium_instances.yaml,223,10,200,988,0.0008976459503173828,4.42578125
medium_instances.yaml,224,10,200,1003,0.0008699893951416016,4.42578125
medium_instances.yaml,225,10,200,999,0.0016875267028808594,4.42578125
medium_instances.yaml,226,10,200,1022,0.0012998580932617188,4.42578125
medium_instances.yaml,227,10,200,1009,0.005330562591552734,11.10546875
medium_instances.yaml,228,10,200,1032,0.0026078224182128906,6.76171875
medium_instances.yaml,229,10,200,1001,0.006387948989868164,11.04296875
medium_instances.yaml,230,10,200,1012,0.0031938552856445312,6.83984375
medium_instances.yaml,231,10,200,991,0.0027201175689697266,6.83984375
medium_instances.yaml,232,10,200,1011,0.0009911060333251953,4.42578125
medium_instances.yaml,233,10,200,1001,0.003592967987060547,6.83984375
medium_instances.yaml,234,10,200,964,0.003640413284301758,6.83984375
medium_instances.yaml,235,10,200,1099,0.0027282238006591797,6.83984375
medium_instances.yaml,236,10,200,1007,0.004500865936279297,11.04296875
medium_instances.yaml,237,10,200,998,0.0028433799743652344,6.83984375
medium_instances.yaml,238,10,200,1020,0.0009815692901611328,4.42578125
medium_instances.yaml,239,10,200,975,0.007078409194946289,11.04296875
medium_instances.yaml,240,10,200,988,0.0009827613830566406,4.42578125
medium_instances.yaml,241,10,200,1026,0.006621837615966797,11.04296875
medium_instances.yaml,242,10,200,980,0.0032045841217041016,6.83984375
medium_instances.yaml,243,10,200,990,0.0018160343170166016,4.42578125
medium_instances.yaml,244,10,200,1004,0.009184122085571289,11.04296875
medium_instances.yaml,245,10,200,1063,0.0021753311157226562,4.42578125
medium_instances.yaml,246,10,200,929,0.0070056915283203125,6.87109375
medium_instances.yaml,247,10,200,1045,0.002413511276245117,4.42578125
medium_instances.yaml,248,10,200,1024,0.002144336700439453,4.42578125
medium_instances.yaml,249,10,200,1031,0.0038187503814697266,6.83984375
medium_instances.yaml,250,10,200,977,0.0024080276489257812,4.42578125
medium_instances.yaml,251,10,200,978,0.005347490310668945,6.83984375
medium_instances.yaml,252,10,200,987,0.0009264945983886719,4.42578125
medium_instances.yaml,253,10,200,1008,0.0008990764617919922,4.42578125
medium_instances.yaml,254,10,200,1100,0.004042148590087891,11.02734375
medium_instances.yaml,255,10,200,1054,0.002493619918823242,6.83984375
medium_instances.yaml,256,10,200,1029,0.004758358001708984,11.16796875
medium_instances.yaml,257,10,200,1074,0.0009403228759765625,4.42578125
medium_instances.yaml,258,10,200,976,0.0027904510498046875,6.83984375
medium_instances.yaml,259,10,200,980,0.0028951168060302734,6.77734375
medium_instances.yaml,260,10,200,1045,0.0010311603546142578,4.42578125
medium_instances.yaml,261,10,200,1060,0.0071659088134765625,11.09765625
medium_instances.yaml,262,10,200,956,0.002838611602783203,6.83984375
medium_instances.yaml,263,10,200,1069,0.0029036998748779297,6.83984375
medium_instances.yaml,264,10,200,1020,0.004845142364501953,11.04296875
medium_instances.yaml,265,10,200,1112,0.007457733154296875,10.98046875
medium_instances.yaml,266,10,200,934,0.0012004375457763672,4.42578125
medium_instances.yaml,267,10,200,997,0.0011124610900878906,4.42578125
medium_instances.yaml,268,10,200,961,0.002652883529663086,6.77734375
medium_instances.yaml,269,10,200,1007,0.0010747909545898438,4.42578125
medium_instances.yaml,270,10,200,934,0.0010037422180175781,4.42578125
medium_instances.yaml,271,10,200,978,0.0031201839447021484,6.83984375
medium_instances.yaml,272,10,200,1008,0.003143310546875,6.77734375
medium_instances.yaml,273,10,200,942,0.0032949447631835938,6.83984375
medium_instances.yaml,274,10,200,1093,0.0009119510650634766,4.42578125
medium_instances.yaml,275,10,200,1055,0.002483844757080078,6.83984375
medium_instances.yaml,276,10,200,987,0.0009477138519287109,4.42578125
medium_instances.yaml,277,10,200,943,0.0025589466094970703,6.83984375
medium_instances.yaml,278,10,200,1050,0.004567146301269531,10.98046875
medium_instances.yaml,279,10,200,1038,0.002604961395263672,6.83984375
medium_instances.yaml,280,10,200,972,0.0008940696716308594,4.42578125
medium_instances.yaml,281,10,200,978,0.000919342041015625,4.42578125
medium_instances.yaml,282,10,200,971,0.0026297569274902344,6.83984375
medium_instances.yaml,283,10,200,1024,0.0030710697174072266,6.83984375
medium_instances.yaml,284,10,200,1007,0.002744436264038086,6.83984375
medium_instances.yaml,285,10,200,1020,0.0026819705963134766,6.83984375
medium_instances.yaml,286,10,200,975,0.002856016159057617,6.83984375
medium_instances.yaml,287,10,200,1057,0.0064432621002197266,11.09765625
medium_instances.yaml,288,10,200,1077,0.0038204193115234375,6.83984375
medium_instances.yaml,289,10,200,1056,0.005370140075683594,11.04296875
medium_instances.yaml,290,10,200,966,0.0011386871337890625,4.42578125
medium_instances.yaml,291,10,200,1000,0.0009019374847412109,4.42578125
medium_instances.yaml,292,10,200,1014,0.003028392791748047,6.83984375
medium_instances.yaml,293,10,200,999,0.0011103153228759766,4.42578125
medium_instances.yaml,294,10,200,1008,0.0050945281982421875,11.04296875
medium_instances.yaml,295,10,200,1042,0.0042917728424072266,11.04296875
medium_instances.yaml,296,10,200,1025,0.0030105113983154297,6.83984375
medium_instances.yaml,297,10,200,1023,0.0035648345947265625,6.83984375
medium_instances.yaml,298,10,200,1031,0.0033135414123535156,6.83984375
medium_instances.yaml,299,10,200,1004,0.004431724548339844,11.04296875
medium_instances.yaml,300,10,200,1105,0.004220485687255859,10.85546875
medium_instances.yaml,301,10,200,1002,0.0033080577850341797,6.83984375
medium_instances.yaml,302,10,200,1040,0.0035924911499023438,6.83984375
medium_instances.yaml,303,10,200,1012,0.0029959678649902344,6.83984375
medium_instances.yaml,304,10,200,1015,0.0015919208526611328,4.42578125
medium_instances.yaml,305,10,200,933,0.005834817886352539,11.04296875
medium_instances.yaml,306,10,200,1066,0.0026731491088867188,6.83984375
medium_instances.yaml,307,10,200,1011,0.0009300708770751953,4.42578125
medium_instances.yaml,308,10,200,1024,0.0027556419372558594,6.83984375
medium_instances.yaml,309,10,200,996,0.002597332000732422,6.76171875
medium_instances.yaml,310,10,200,955,0.0009298324584960938,4.42578125
medium_instances.yaml,311,10,200,1034,0.005118131637573242,11.04296875
medium_instances.yaml,312,10,200,1070,0.0009133815765380859,4.42578125
medium_instances.yaml,313,10,200,1086,0.0024471282958984375,6.76171875
medium_instances.yaml,314,10,200,1089,0.004098415374755859,10.94921875
medium_instances.yaml,315,10,200,992,0.0008873939514160156,4.42578125
medium_instances.yaml,316,10,200,975,0.0008370876312255859,4.42578125
medium_instances.yaml,317,10,200,1017,0.0009150505065917969,4.42578125
medium_instances.yaml,318,10,200,931,0.0009455680847167969,4.42578125
medium_instances.yaml,319,10,200,1024,0.0010099411010742188,4.42578125
medium_instances.yaml,320,10,200,999,0.0009930133819580078,4.42578125
medium_instances.yaml,321,10,200,1016,0.0009250640869140625,4.42578125
medium_instances.yaml,322,10,200,988,0.003055572509765625,6.83984375
medium_instances.yaml,323,10,200,974,0.004328727722167969,11.04296875
medium_instances.yaml,324,10,200,1044,0.0039000511169433594,11.04296875
medium_instances.yaml,325,10,200,961,0.0008928775787353516,4.42578125
medium_instances.yaml,326,10,200,970,0.0025877952575683594,6.83984375
medium_instances.yaml,327,10,200,1015,0.0010311603546142578,4.42578125
medium_instances.yaml,328,10,200,976,0.0008573532104492188,4.42578125
medium_instances.yaml,329,10,200,971,0.0009407997131347656,4.42578125
medium_instances.yaml,330,10,200,1038,0.004295825958251953,11.04296875
medium_instances.yaml,331,10,200,1087,0.002518177032470703,6.74609375
medium_instances.yaml,332,10,200,1003,0.0013294219970703125,4.42578125
medium_instances.yaml,333,10,200,1074,0.002633333206176758,6.83984375
medium_instances.yaml,334,10,200,1110,0.002924203872680664,6.83984375
medium_instances.yaml,335,10,200,958,0.003363370895385742,6.87109375
medium_instances.yaml,336,10,200,1047,0.002902507781982422,6.77734375
medium_instances.yaml,337,10,200,1008,0.003731966018676758,6.83984375
medium_instances.yaml,338,10,200,1002,0.002963542938232422,6.83984375
medium_instances.yaml,339,10,200,1000,0.0014302730560302734,4.42578125
medium_instances.yaml,340,10,200,928,0.002771615982055664,6.77734375
medium_instances.yaml,341,10,200,1013,0.0026013851165771484,6.83984375
medium_instances.yaml,342,10,200,1041,0.002637147903442383,6.75390625
medium_instances.yaml,343,10,200,1026,0.004167795181274414,11.04296875
medium_instances.yaml,344,10,200,971,0.0009176731109619141,4.42578125
medium_instances.yaml,345,10,200,942,0.0008907318115234375,4.42578125
medium_instances.yaml,346,10,200,1010,0.003222942352294922,6.83984375
medium_instances.yaml,347,10,200,1038,0.0009071826934814453,4.42578125
medium_instances.yaml,348,10,200,1046,0.004466056823730469,11.04296875
medium_instances.yaml,349,10,200,1023,0.000858306884765625,4.42578125
medium_instances.yaml,350,10,200,970,0.00407099723815918,11.04296875
medium_instances.yaml,351,10,200,980,0.0023865699768066406,6.83984375
medium_instances.yaml,352,10,200,1014,0.0009899139404296875,4.42578125
medium_instances.yaml,353,10,200,1004,0.001190185546875,4.42578125
medium_instances.yaml,354,10,200,1015,0.0046498775482177734,11.04296875
medium_instances.yaml,355,10,200,1037,0.002480030059814453,6.83984375
medium_instances.yaml,356,10,200,1023,0.0009832382202148438,4.42578125
medium_instances.yaml,357,10,200,1012,0.0014033317565917969,4.42578125
medium_instances.yaml,358,10,200,1046,0.0009636878967285156,4.42578125
medium_instances.yaml,359,10,200,934,0.0009236335754394531,4.42578125
medium_instances.yaml,360,10,200,1031,0.0010101795196533203,4.42578125
medium_instances.yaml,361,10,200,992,0.0037484169006347656,6.83984375
medium_instances.yaml,362,10,200,976,0.0010313987731933594,4.42578125
medium_instances.yaml,363,10,200,1011,0.002557516098022461,6.83984375
medium_instances.yaml,364,10,200,992,0.001031637191772461,4.42578125
medium_instances.yaml,365,10,200,1037,0.0024874210357666016,6.83984375
medium_instances.yaml,366,10,200,1005,0.004868030548095703,11.04296875
medium_instances.yaml,367,10,200,1028,0.0047261714935302734,11.04296875
medium_instances.yaml,368,10,200,1071,0.0009186267852783203,4.42578125
medium_instances.yaml,369,10,200,962,0.0010564327239990234,4.42578125
medium_instances.yaml,370,10,200,1093,0.0009007453918457031,4.42578125
medium_instances.yaml,371,10,200,1026,0.0009341239929199219,4.42578125
medium_instances.yaml,372,10,200,1019,0.0025844573974609375,6.83984375
medium_instances.yaml,373,10,200,1017,0.0008552074432373047,4.42578125
medium_instances.yaml,374,10,200,978,0.0008652210235595703,4.42578125
medium_instances.yaml,375,10,200,978,0.005335330963134766,11.04296875
medium_instances.yaml,376,10,200,1005,0.0015785694122314453,4.42578125
medium_instances.yaml,377,10,200,1004,0.0024635791778564453,6.83984375
medium_instances.yaml,378,10,200,985,0.004172563552856445,6.83984375
medium_instances.yaml,379,10,200,1046,0.002837657928466797,6.83984375
medium_instances.yaml,380,10,200,1029,0.0030601024627685547,6.77734375
medium_instances.yaml,381,10,200,1041,0.004122257232666016,6.83984375
medium_instances.yaml,382,10,200,973,0.003170013427734375,6.83984375
medium_instances.yaml,383,10,200,955,0.003771066665649414,6.87109375
medium_instances.yaml,384,10,200,988,0.0062558650970458984,11.04296875
medium_instances.yaml,385,10,200,956,0.0009915828704833984,4.42578125
medium_instances.yaml,386,10,200,992,0.002674579620361328,6.83984375
medium_instances.yaml,387,10,200,925,0.0025985240936279297,6.93359375
medium_instances.yaml,388,10,200,951,0.0008974075317382812,4.42578125
medium_instances.yaml,389,10,200,1057,0.0034682750701904297,6.83984375
medium_instances.yaml,390,10,200,1048,0.002829313278198242,6.77734375
medium_instances.yaml,391,10,200,1003,0.002956867218017578,6.83984375
medium_instances.yaml,392,10,200,992,0.002997159957885742,6.83984375
medium_instances.yaml,393,10,200,966,0.002978086471557617,6.87109375
medium_instances.yaml,394,10,200,1045,0.002794504165649414,6.83984375
medium_instances.yaml,395,10,200,1036,0.002537965774536133,6.80859375
medium_instances.yaml,396,10,200,1032,0.0009543895721435547,4.42578125
medium_instances.yaml,397,10,200,1041,0.0024518966674804688,6.75390625
medium_instances.yaml,398,10,200,1043,0.003304719924926758,6.83984375
medium_instances.yaml,399,10,200,988,0.002472400665283203,6.83984375
medium_instances.yaml,400,10,200,1020,0.0024704933166503906,6.83984375
medium_instances.yaml,401,10,200,1055,0.002855062484741211,6.83984375
medium_instances.yaml,402,10,200,1040,0.003943204879760742,11.05078125
medium_instances.yaml,403,10,200,1020,0.0026884078979492188,6.83984375
medium_instances.yaml,404,10,200,979,0.0038993358612060547,11.04296875
medium_instances.yaml,405,10,200,969,0.0008890628814697266,4.42578125
medium_instances.yaml,406,10,200,1008,0.0026950836181640625,6.83984375
